osmid,y,x
11341010568,10.7701675,106.7141712
11341010569,10.7702867,106.7149057
11341010571,10.7696248,106.7108596
11341010573,10.769683,106.7118542
11341010578,10.7691692,106.7108892
11341010593,10.7685752,106.7112011
11341010596,10.7689219,106.7120889
11341010597,10.7698209,106.7119982
11341010602,10.7698437,106.712844
11341010636,10.7675151,106.7141261
5738206956,10.7914478,106.721268
5738206957,10.7923311,106.7199756
5738206958,10.7922165,106.720036
5738206959,10.7921274,106.7201561
5738206960,10.7914845,106.7212182
5738206961,10.7907599,106.7222026
5738206962,10.7905069,106.7225591
5738206963,10.7904213,106.7226815
11341010682,10.7679381,106.712908
11341010684,10.767167,106.7135579
1769477887,10.7681065,106.7060264
8152553217,10.7692125,106.7142181
8152553218,10.7689262,106.7143952
8152553219,10.7687241,106.714538
8152553220,10.7682523,106.7149165
8152553221,10.7679729,106.7151744
8152553222,10.7675621,106.7155991
8152553226,10.7667507,106.7166838
8152553228,10.7663922,106.71732
8152553232,10.768829,106.7144614
11341010710,10.7684923,106.7135676
11341010724,10.7685151,106.713396
11341010727,10.768135,106.7127601
11341010729,10.7681476,106.7129317
10699151162,10.7680322,106.7029345
5740257902,10.7684576,106.7112693
5740257904,10.7688693,106.7119961
