u,v,osmid,highway,length,geometry
6720471815,6720471812,715000353,service,14.969819642698969,"LINESTRING (106.677502 10.7928415, 106.6775675 10.7928189, 106.6775852 10.7928449, 106.6776188 10.7928328)"
6720471816,6720471791,56725525,residential,4.618288303188974,"LINESTRING (106.6772489 10.7925968, 106.6772859 10.7925767)"
6720471816,6720471823,56725525,residential,12.234177214054997,"LINESTRING (106.6772489 10.7925968, 106.6772049 10.7926206, 106.677146 10.7926389)"
6720471816,6720471824,715000354,service,39.65919881203611,"LINESTRING (106.6772489 10.7925968, 106.6773215 10.7928223, 106.6773056 10.7928536, 106.6772211 10.7928727)"
6720471819,6720471824,715000354,service,10.367429219630852,"LINESTRING (106.6771286 10.7928936, 106.6772211 10.7928727)"
6720471819,6720471822,715000354,service,28.758524322055624,"LINESTRING (106.6771286 10.7928936, 106.6771056 10.7929475, 106.677141 10.7930831, 106.6770968 10.7931248)"
6720471819,6720471825,715000356,service,20.71755080298499,"LINESTRING (106.6771286 10.7928936, 106.6771021 10.7928258, 106.6771074 10.7927963, 106.6771903 10.7927768)"
6720471822,6720471819,715000354,service,28.75852432205562,"LINESTRING (106.6770968 10.7931248, 106.677141 10.7930831, 106.6771056 10.7929475, 106.6771286 10.7928936)"
6720471823,6720471828,56725525,residential,16.86566083473456,"LINESTRING (106.677146 10.7926389, 106.6769988 10.7926847)"
6720471823,6720471825,715000355,service,16.079164929275937,"LINESTRING (106.677146 10.7926389, 106.6771903 10.7927768)"
6720471823,6720471816,56725525,residential,12.234177214054997,"LINESTRING (106.677146 10.7926389, 106.6772049 10.7926206, 106.6772489 10.7925968)"
6720471824,6720471819,715000354,service,10.367429219630852,"LINESTRING (106.6772211 10.7928727, 106.6771286 10.7928936)"
6720471824,6720471825,715000355,service,11.181706685398785,"LINESTRING (106.6772211 10.7928727, 106.6771903 10.7927768)"
6720471824,6720471816,715000354,service,39.65919881203611,"LINESTRING (106.6772211 10.7928727, 106.6773056 10.7928536, 106.6773215 10.7928223, 106.6772489 10.7925968)"
6720471825,6720471824,715000355,service,11.181706685398785,"LINESTRING (106.6771903 10.7927768, 106.6772211 10.7928727)"
6720471825,6720471823,715000355,service,16.079164929275937,"LINESTRING (106.6771903 10.7927768, 106.677146 10.7926389)"
6720471825,6720471819,715000356,service,20.71755080298499,"LINESTRING (106.6771903 10.7927768, 106.6771074 10.7927963, 106.6771021 10.7928258, 106.6771286 10.7928936)"
6720471828,710021194,56725525,residential,8.052271967520765,"LINESTRING (106.6769988 10.7926847, 106.6769285 10.7927065)"
6720471828,6720471823,56725525,residential,16.86566083473456,"LINESTRING (106.6769988 10.7926847, 106.677146 10.7926389)"
6720471828,6720471829,715000357,living_street,17.47584101865484,"LINESTRING (106.6769988 10.7926847, 106.6770472 10.7928345)"
6720471829,6720471828,715000357,living_street,17.47584101865484,"LINESTRING (106.6770472 10.7928345, 106.6769988 10.7926847)"
10734420859,1769456879,1154233513,pedestrian,6.072047511068467,"LINESTRING (106.6960028 10.7710081, 106.6960019 10.7710627)"
10734420859,1769456882,1154233513,pedestrian,52.58150100815515,"LINESTRING (106.6960028 10.7710081, 106.6955609 10.7708206)"
10734420880,10734420881,1154233513,pedestrian,2.6046697457856998,"LINESTRING (106.6958219 10.7710691, 106.6958064 10.7710869)"
10734420880,1769456879,1154233513,pedestrian,19.675358022436125,"LINESTRING (106.6958219 10.7710691, 106.6960019 10.7710627)"
10734420881,10734420880,1154233513,pedestrian,2.6046697457856998,"LINESTRING (106.6958064 10.7710869, 106.6958219 10.7710691)"
10734420881,11839467601,1154233513,pedestrian,48.477302803891,"LINESTRING (106.6958064 10.7710869, 106.6958073 10.7711144, 106.6960644 10.7711021, 106.696083 10.7710988, 106.6961016 10.7710842, 106.6961141 10.7710667, 106.6961194 10.7710496, 106.6961171 10.771028, 106.6961108 10.7710125, 106.6961088 10.7710075, 106.6960948 10.770993, 106.6960848 10.770989)"
10290742164,411924739,35113807,residential,42.42755291410914,"LINESTRING (106.6830275 10.7835079, 106.6826765 10.7836713)"
10290742164,12486091341,35113807,residential,54.311656758625425,"LINESTRING (106.6830275 10.7835079, 106.6834317 10.7833198, 106.6834638 10.7833574)"
10290742164,10290742167,1125323441,service,32.15070889050397,"LINESTRING (106.6830275 10.7835079, 106.6830857 10.7836462, 106.6831697 10.7836154, 106.6831879 10.7836636)"
10290742164,12468530939,1347938818,residential,61.50277799156895,"LINESTRING (106.6830275 10.7835079, 106.6829389 10.783322, 106.6830159 10.783173, 106.6831795 10.7830903)"
10290742167,10290742168,1125323441,service,26.971055607415536,"LINESTRING (106.6831879 10.7836636, 106.683421 10.7835836)"
10290742167,11411773863,1230531537,service,16.95301384106091,"LINESTRING (106.6831879 10.7836636, 106.683238 10.7838079)"
10290742167,10290742164,1125323441,service,32.150708890503964,"LINESTRING (106.6831879 10.7836636, 106.6831697 10.7836154, 106.6830857 10.7836462, 106.6830275 10.7835079)"
10290742168,10290742167,1125323441,service,26.971055607415536,"LINESTRING (106.683421 10.7835836, 106.6831879 10.7836636)"
10290742168,411922146,35114326,service,42.24173908869883,"LINESTRING (106.683421 10.7835836, 106.6835017 10.7837533, 106.6835559 10.7838705, 106.683586 10.7839271)"
10290742168,10290809252,1125323442,service,31.805285803527266,"LINESTRING (106.683421 10.7835836, 106.6834103 10.7835575, 106.683441 10.7835482, 106.683418 10.7835019, 106.683531 10.7834524, 106.6835571 10.7834991)"
10734420890,10734420889,1154211788,service,7.734548320377937,"LINESTRING (106.6951996 10.7711851, 106.6951967 10.7711156)"
10734420890,5444117925,466130926,primary,32.14775762455483,"LINESTRING (106.6951996 10.7711851, 106.695212 10.7711845, 106.6954935 10.7711701)"
10734420888,10734467238,1154211794,service,5.8200254454899225,"LINESTRING (106.6951851 10.7708327, 106.695183 10.7707804)"
10734420889,10734420888,1154211787,service,31.482599945449127,"LINESTRING (106.6951967 10.7711156, 106.6951851 10.7708327)"
2233091066,411926003,35113721,tertiary,23.343558544908444,"LINESTRING (106.6891132 10.7797834, 106.688964 10.7796331)"
2233091066,411918581,35113721,tertiary,68.3787459813379,"LINESTRING (106.6891132 10.7797834, 106.6895501 10.7802238)"
2233091066,10978464355,1182195861,service,91.1625969547446,"LINESTRING (106.6891132 10.7797834, 106.6890086 10.7798785, 106.6887484 10.7801123, 106.6884996 10.7798855)"
2233091068,5778300423,213644665,service,86.70351645254732,"LINESTRING (106.6884174 10.7801246, 106.6878352 10.7806546)"
2230862974,2230862976,758009914,service,36.4699601015964,"LINESTRING (106.6863546 10.7817623, 106.6861079 10.7819833)"
2230862976,2230851099,654858165,primary,32.08120799525299,"LINESTRING (106.6861079 10.7819833, 106.685903 10.7817766)"
